hemisphere,name,image,price,location,shadow,time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
southern,neon tetra,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH-Icon-neontetra.png/revision/latest/scale-to-width-down/64?cb=20200401003129,500,river,1,9 am - 4 pm,0,0,0,1,1,1,1,1,1,1,1,0
southern,rainbowfish,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/NH-Icon-rainbowfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,800,river,1,9 am - 4 pm,0,0,0,0,1,1,1,1,1,1,0,0
southern,piranha,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b9/NH-Icon-piranha.png/revision/latest/scale-to-width-down/64?cb=20200401003130,2500,river,2,9 am - 4 pm & 9 pm - 4 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,arowana,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Icon-arowana.png/revision/latest/scale-to-width-down/64?cb=20200401003128,10000,river,4,4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,dorado,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/NH-Icon-dorado.png/revision/latest/scale-to-width-down/64?cb=20200401003129,15000,river,5,4 am - 9 pm,0,0,0,0,0,1,1,1,1,0,0,0
southern,gar,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Icon-gar.png/revision/latest/scale-to-width-down/64?cb=20200401003129,6000,pond,6,4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,arapaima,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Icon-arapaima.png/revision/latest/scale-to-width-down/64?cb=20200401003128,10000,river,6,4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,saddled bichir,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/NH-Icon-saddledbichir.png/revision/latest/scale-to-width-down/64?cb=20200401003130,4000,river,4,9 pm - 4 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,sturgeon,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/NH-Icon-sturgeon.png/revision/latest/scale-to-width-down/64?cb=20200401003129,10000,river (mouth),6,all day,1,1,1,0,0,0,0,0,1,1,1,1
southern,sea butterfly,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8f/NH-Icon-seabutterfly.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1000,sea,1,all day,1,1,1,0,0,0,0,0,0,0,0,1
southern,sea horse,https://vignette.wikia.nocookie.net/animalcrossing/images/5/55/NH-Icon-seahorse.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1100,sea,1,all day,0,0,0,1,1,1,1,1,1,1,1,0
southern,clown fish,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-clownfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,650,sea,1,all day,0,0,0,1,1,1,1,1,1,0,0,0
southern,surgeonfish,https://vignette.wikia.nocookie.net/animalcrossing/images/1/11/NH-Icon-surgeonfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1000,sea,2,all day,0,0,0,1,1,1,1,1,1,0,0,0
southern,butterfly fish,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Icon-butterflyfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1000,sea,2,all day,0,0,0,1,1,1,1,1,1,0,0,0
southern,napoleonfish,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Icon-napoleonfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,10000,sea,6,4 am - 9 pm,0,0,0,0,0,0,1,1,0,0,0,0
southern,zebra turkeyfish,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/NH-Icon-zebraturkeyfish.png/revision/latest/scale-to-width-down/64?cb=20200401003130,500,sea,3,all day,0,0,0,1,1,1,1,1,1,1,1,0
southern,blowfish,https://vignette.wikia.nocookie.net/animalcrossing/images/3/39/NH-Icon-blowfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,5000,sea,3,9 pm - 4 am,1,1,0,0,0,0,0,0,0,0,1,1
southern,puffer fish,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Icon-pufferfish.png/revision/latest/scale-to-width-down/64?cb=20200401003130,250,sea,3,all day,0,0,0,0,0,0,1,1,1,0,0,0
southern,anchovy,https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/NH-Icon-anchovy.png/revision/latest/scale-to-width-down/64?cb=20200401003129,200,sea,2,4 am - 9 pm,1,1,1,1,1,1,1,1,1,1,1,1
southern,horse mackerel,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/NH-Icon-horsemackerel.png/revision/latest/scale-to-width-down/64?cb=20200401003129,150,sea,2,all day,1,1,1,1,1,1,1,1,1,1,1,1
southern,barred knifejaw,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Icon-barredknifejaw.png/revision/latest/scale-to-width-down/64?cb=20200401003128,5000,sea,3,all day,0,0,1,1,1,1,1,1,1,1,1,0
southern,sea bass,https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/NH-Icon-seabass.png/revision/latest/scale-to-width-down/64?cb=20200401003130,400,sea,5,all day,1,1,1,1,1,1,1,1,1,1,1,1
southern,red snapper,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/NH-Icon-redsnapper.png/revision/latest/scale-to-width-down/64?cb=20200401003130,3000,sea,4,all day,1,1,1,1,1,1,1,1,1,1,1,1
southern,dab,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Icon-dab.png/revision/latest/scale-to-width-down/64?cb=20200401003129,300,sea,3,all day,1,1,1,1,0,0,0,0,0,1,1,1
southern,olive flounder,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/NH-Icon-oliveflounder.png/revision/latest/scale-to-width-down/64?cb=20200401003129,800,sea,5,all day,1,1,1,1,1,1,1,1,1,1,1,1
southern,squid,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/NH-Icon-squid.png/revision/latest/scale-to-width-down/64?cb=20200401003130,500,sea,3,all day,1,1,1,1,1,1,1,1,0,0,0,1
southern,moray eel,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/NH-Icon-morayeel.png/revision/latest/scale-to-width-down/64?cb=20200401003130,2000,sea,narrow,all day,0,0,0,0,0,0,0,1,1,1,0,0
southern,ribbon eel,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Icon-ribboneel.png/revision/latest/scale-to-width-down/64?cb=20200401003129,600,sea,narrow,all day,0,0,0,0,0,1,1,1,1,1,0,0
southern,tuna,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Icon-tuna.png/revision/latest/scale-to-width-down/64?cb=20200401003129,7000,pier,6,all day,1,1,1,1,0,0,0,0,0,0,1,1
southern,blue marlin,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-bluemarlin.png/revision/latest/scale-to-width-down/64?cb=20200401003129,10000,pier,6,all day,1,1,1,1,0,0,1,1,1,0,1,1
southern,giant trevally,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Icon-gianttrevally.png/revision/latest/scale-to-width-down/64?cb=20200401003129,4500,pier,5,all day,0,0,0,0,1,1,1,1,1,1,0,0
southern,mahi-mahi,https://vignette.wikia.nocookie.net/animalcrossing/images/8/82/NH-Icon-mahimahi.png/revision/latest/scale-to-width-down/64?cb=20200401003129,6000,pier,5,all day,0,0,0,0,1,1,1,1,1,1,0,0
southern,ocean sunfish,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Icon-oceansunfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,4000,sea,6 (fin),4 am - 9 pm,0,0,0,0,0,0,1,1,1,0,0,0
southern,ray,https://vignette.wikia.nocookie.net/animalcrossing/images/d/db/NH-Icon-ray.png/revision/latest/scale-to-width-down/64?cb=20200401003129,3000,sea,5,4 am - 9 pm,0,0,0,0,0,0,0,1,1,1,1,0
southern,saw shark,https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/NH-Icon-sawshark.png/revision/latest/scale-to-width-down/64?cb=20200401003129,12000,sea,6 (fin),4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,hammerhead shark,https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Icon-hammerheadshark.png/revision/latest/scale-to-width-down/64?cb=20200401003129,8000,sea,6 (fin),4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,great white shark,https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/NH-Icon-greatwhiteshark.png/revision/latest/scale-to-width-down/64?cb=20200401003129,15000,sea,6 (fin),4 pm - 9 am,0,0,0,0,0,1,1,1,1,0,0,0
southern,whale shark,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/NH-Icon-whaleshark.png/revision/latest/scale-to-width-down/64?cb=20200401003129,13000,sea,6 (fin),all day,0,0,0,0,0,1,1,1,1,0,0,0
southern,suckerfish,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b9/NH-Icon-suckerfish.png/revision/latest/scale-to-width-down/64?cb=20200401003131,1500,sea,4 (fin),all day,0,0,0,0,0,1,1,1,1,0,0,0
southern,football fish,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Icon-footballfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,2500,sea,4,4 pm - 9 am,1,1,1,0,0,0,0,0,0,0,1,1
southern,oarfish,https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Icon-oarfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,9000,sea,6,all day,1,1,1,1,1,0,0,0,0,0,0,1
southern,barreleye,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Icon-barreleye.png/revision/latest/scale-to-width-down/64?cb=20200401003128,15000,sea,2,9 pm - 4 am,1,1,1,1,1,1,1,1,1,1,1,1
southern,coelacanth,https://vignette.wikia.nocookie.net/animalcrossing/images/3/31/NH-Icon-coelacanth.png/revision/latest/scale-to-width-down/64?cb=20200401003129,15000,sea (raining),6,all day,1,1,1,1,1,1,1,1,1,1,1,1
